,评论,断句,方面词,情感词
10810,线头多的要死,1,线头,多
10811,就是衣服小了点,0,衣服,小
10812,布料薄的穿上就透明,1,布料,薄
10813,个人感觉袖口有点小.,0,袖口,小
10814,物流真是超级慢,0,物流,慢
10815,就是尺寸有点小,0,尺寸,小
10816,布料特别薄,1,布料,薄
10817,发货速度快,0,发货速度,快
10818,就是感觉颜色有点少,1,颜色,少
10819,只不过买小了一号,0,衣服,小
10820,服务跟物流一样快,1,服务跟物流,快
10821,整体评价：真的差 材质特性：布料差的离谱,0,布料,差
10822, 上身效果：差 ,1,效果,差
10823,发货速度非常快,1,发货,快
10824,运送速度很快,1,速度,快
10825,就是卖着卖着就贵了,0,价格,贵
10826,现在就贵了,0,价格,贵
10827,物流也很快,1,物流,快
10828,可以就是有点厚,1,衣服,厚
10829,买到家发现衣服大到没法穿,1,衣服,大
10830, 上身效果：男朋友有点点胖,0,上身效果,胖
10831, 厚薄度：有点厚,1,厚薄度,厚
10832,就是线容易松,1,线,松
10833,衣服硬的扎身,1,衣服,硬
10834,而且发货又快,1,发货,快
10835,除了比较透以为其他挺好的,1,面料,透
10836,还有好多线头,1,线头,多
10837,就是领口有点小,1,领口,小
10838,但是他穿太大了,1,衣服,大
10839,衣服材料很差,0,衣服材料,差
10840,而且孩子穿上尺码很准很合适,1,尺码,准
10841,衣服颜色比图片能亮一点,0,衣服颜色比图片,亮
10842,男朋友穿上很帅,1,设计,帅
10843,这个价钱也值了,1,价钱,值
10844,物流发货很快,1,物流,快
10845,版型也很正,0,版型,正
10846,上面花色越洗越淡,1,花色,淡
10847,布料太差粗糙的很还有点磨的慌,0,布料,差
10848,做工也比较细,1,做工,细
10849,发货速 度非常快,1,发货,快
10850,衣服有点大,1,衣服,大
10851,领口太小了 ,0,领口,小
10852,领口太小了 上身效果：领口太小了 尺码推荐：不知道,0,领口,小
10853,衣服可以嗷就是白色有点透,1,白色,透
10854,但领口偏小,1,领口,小
10855,就刚拿出来会有点味道,0,味道,少
10856,宽松版颜色很正,0,颜色,正
10857,有点太厚了,0,衣服,厚
10858,也太厚了衣服,1,衣服,厚
10859,袖子有点大,1,袖子,大
10860, 上身效果：帅 ,1,上身效果,帅
10861,质量非常差,0,质量,差
10862,就是有点厚,1,衣服,厚
10863,这件衣服非常的差,1,衣服,差
10864,布料特别差还起球,1,布料,差
10865,就是有点宽,0,布料,宽
10866,布料也很差,0,布料,差
10867,面料也很差,0,面料,差
10868,领口超级小,0,领口,小
10869,质量超级烂,1,质量,烂
10870,整体评价：衣领小了点,0,衣领,小
10871,衣服就出现了一个洞,0,衣服,洞
10872,不厚也不薄的 面料品质：很棒,0,面料,棒
10873,差到爆了这个衣服,1,衣服,差
10874,物流速度特别快 ,0,物流,快
10875,超级无敌差,1,衣服,差
10876,差距太大了,0,差距,大
10877,衣服上面有三个洞,0,衣服,洞
10878,物流超级快,0,物流,快
10879,明明买的L码结果衣服比XLL还大,1,尺码,大
10880,衣服材料又差,1,衣服材料,差
10881,就是衣服领子有点紧,1,衣服领口,紧
10882,真实颜色很老,0,颜色,老
10883,就是有点薄,1,衣服,薄
10884,整体评价：颜色很正、很好,0,颜色,正
10885,质量有点粗哦,0,质量,粗
10886,发货也很快,1,发货,快
10887,材质特性：布料有点硬,0,布料,硬
10888,但外形很潮,0,外形,潮
10889,面料品质：应该是棉吧,0,面料平直,棉
10890,物流速度很快,0,物流速度,快
10891,码都挺正的,0,尺码,正
10892,没想到这个价位买到这么好的质量 材质特性：棉 ,1,材质,棉
10893,感觉布料有点硬,0,布料,硬
10894,运送速度快,1,速度,快
10895,感觉这个价钱挺值的,1,价格,值
10896,面料品质：老了,0,面料,老
10897,物流速度快,0,物流,快
10898,物流还很慢.修身的,0,物流,慢
10899,腋下有点紧可能是开口小吧,1,腋下,紧
10900,物流速度也快,0,物流,快
10901,这衣服也太差了吧,1,衣服,差
10902,质量特别差,0,质量,差
10903,衣服还行就是味道有点大,1,味道,大
10904,色差有点大,1,色差,大
10905,衣领太小了,0,衣领,小
10906,太大了非常好,1,衣服,大
10907,我这穿着有点紧,1,衣服,紧
10908,速度很快,1,速度,快
10909,有更多款式,1,款式,多
10910,颜色很正,0,颜色,正
10911,衣服颜色正,1,衣服颜色,正
10912, 厚薄度：很薄的样子,0,厚薄度,薄
10913,物流速度非常快非常满意,0,物流,快
10914,图案种类很多,1,图案种类,多
10915,就是布料有点薄,1,布料,薄
10916,面料也很软,0,面料,软
10917,衣服号小一码,0,衣服,小
10918,物流速度也超级快,0,物流,快
10919, 尺码推荐：尺码推荐挺准的,1,尺码,准
10920,整体评价：物流很快,1,物流,快
10921,面料有点薄的,1,面料,薄
10922,种类还很多,0,种类,多
10923,这衣服是不是有点小啊,0,衣服,小
10924,比较薄 稍微透明,0,衣服,薄
10925,有的还脏的,1,衣服,脏
10926,挺多线头的,1,线头,多
10927,尺码很正还不错,0,尺码,正
10928,质量有点次,1,质量,次
10929,就是取件时服务态度很差,1,服务态度,差
10930,白色有点透,1,白色,透
10931,就是有点紧,0,布料,紧
10932,相对这个价格是非常值得的,0,价格,值
10933,上身效果：小了点,0,上身效果,小
10934,衣服还是蛮多线头的,0,线头,多
10935,个人感觉料子小了,1,料子,小
10936,整体评价：挺不错的手感挺软的,1,手感,软
10937, 材质特性：软 上身效果：没穿,1,材质,软
10938,大小应该差不多,1,大小,差不多
10939,物流速度非常快,0,物流,快
10940,物流速度比想象中的还要快,1,物流,快
10941,白色厚薄度：薄,0,白色厚薄度,薄
10942,隐蔽性极强,0,隐蔽性,强
10943,衣服有点透,1,衣服,透
10944,我L码的买来紧的要死,1,布料,紧
10945,不偏大偏小 厚薄度：挺薄的,0,厚薄度,薄
10946,不错物流也快,1,物流,快
10947,料子特别软,1,料子,软
10948,就是多余的线有点多,0,线,多
10949,衣服材质是挺软的,0,衣服材质,软
10950,手感不错挺薄的,0,手感,不错
10951,衣服版型也很正,1,衣服版型,正
10952,我175的厚薄度：极其薄,1, 厚薄度,薄
10953,布料挺软的,0,布料,软
10954,料子质感很差,1,料子质感,差
10955,但开线的地方很多,0,开线,多
10956,衣服挺好的衣服特别薄,0,衣服,薄
10957,尺码很正啊,0,尺码,正
10958,试穿了码数很正非常棒,0,码数,正
10959,上身效果也很赞,0,效果,赞
10960,软 厚薄度：薄,0,厚薄度,薄
10961,速度也是很快的,1,速度,快
10962,衣服小了点,1,衣服,小
10963,整体评价：差 面料品质：差,1,面料,差
10964,剪裁很差,0,剪裁,差
10965,面料更是差的一批,0,面料,差
10966,这件衣服的布料很差,0,衣服的布料,差
10967,就是袖子短了一点,0,袖子,短
10968,到处留线头太多了,0,线头,多
10969,厚薄度：薄,0,厚薄度,薄
10970, 面料品质：差,0,面料品质,差
10971,就是尺寸小了 这个买3XL还小,1,尺寸,小
10972,服务态度也差,1,服务态度,差
10973,料子很薄穿着很舒服,1,料子,薄
10974,试了一下还是很合身的发货很快的,1,发货,快
10975,物品美,0,物品,美
10976,产品质量差，不值得购买,1,产品质量,差
10977,就是质量有点差,1,质量,差
10978,尺码小点小,0,尺码,小
10979,穿L号感觉有点紧,0,尺码,紧
10980,衣服做工特别差,0,衣服做工,差
10981, 尺码推荐：稍买小了一点点,0,尺码,小
10982,但是有点紧啊,1,布料,紧
10983,物流真的快,0,物流,快
10984,物流也快哦,1,物流,快
10985,提个小建议：衣服表面有点小污,1,衣服表面,污
10986,本以为质量会很差,0,质量,差
10987,材质特性：非常薄,1,材质,薄
10988,款式又多,1,款式,多
10989,发货速度有点小慢,0,发货速度,慢
10990,这个价位能买几件这样的汗衫已经很值了,0,价位,值
10991,衣服非常差,0,衣服,差
10992,物流发货也挺快的,0,物流发货,快
10993,在这个价格来说物流发货快,1,物流发货,快
10994,料子不是很薄那种,0,料子,薄
10995,本来就是有点紧,0,布料,紧
10996,非常棒的体验,0,体验,棒
10997,一抬胳膊还是有点紧,1,胳膊,紧
10998,衣服质量是真差,1,衣服质量,差
10999,感觉码子有点小,1,码子,小
11000,号码还小很多,1,号码,小
11001,就是尺码要小了一点,1,尺码,小
11002,就是体恤有点脏😖😖让我失望了,1,体恤,脏
11003,料子摸起来还是挺软的,1,料子,软
11004,西裤的面料很软,1,西裤的面料,软
11005,穿上料子软软的,0,料子,软软的
11006,宝贝已收到流物流很快,0,物流,快
11007,衣服穿起来还有点小性感嘻嘻,1,衣服,性感
11008,这套衣服上身效果真的超赞,1,上身效果,赞
11009,就是腰带质量差了点,0,腰带质量,差
11010,衣服薄一点,0,衣服,薄
11011,面料也很棒,1,面料,棒
11012,这个价位挺值,1,价位,值
11013,裤子版型很正,1,裤子版型,正
11014,比较薄的料子,0,料子,薄
11015,版型挺正的,1,版型,正
11016,面料挺软的,1,面料,软
11017,物流特别快,0,物流,快
11018,到货速度也快,0,到货速度,快
11019,而且质量还差,0,质量,差
11020,衣服非常非常薄,0,衣服,薄
11021,质量次得很,0,质量,次
11022,尺码太小了,1,尺码,小
11023,质量一差的不是一点,0,质量,差
11024,面料是真的差,0,面料,差
11025,质量超级差,1,质量,差
11026,衣服很洋气就是我的肚子有点大,1,衣服,洋气
11027,就是发货好慢,1,发货,慢
11028,料子轻透薄,1,料子,轻薄
11029,物流非常快,0,物流,快
11030,胳膊穿上紧,0,胳膊,紧
11031,就是面料太薄了,1,面料,薄
11032,我不知道这上衣怎么质量那么差,0,质量,差
11033,衣服的领子穿起来很大,0,衣服的领子,大
11034,物流也非常快,1,物流,快
11035,发货也挺快的,0,发货,快
11036,物流也挺快的,0,物流,快
11037,物流挺快的呢,0,物流,快
11038,衣服跟裙子的布料都很软,1,衣服跟裙子的布料,软
11039,衣服穿上身也不会很透,1,衣服,透
11040,很软的布料,0,布料,软
11041,物流很快哦,1,物流,快
11042,衣服裙子也不会很透,0,衣服裙子,透
11043,这个价格值得,0,价格,值得
11044,好看呢超级滑物流也挺快的,0,物流,快
11045,物流也超级快,1,物流,快
11046,白色的不会透,0,白色,不会透
11047,很轻薄的料子,0,料子,轻薄
11048,衣服裙子也是有点透透的,1,衣服裙子,透透的
11049,衣服质量太透了,0,衣服质量,透
11050,布料也差不多,0,布料,差不多
11051,面料是那种很轻薄的,0,面料,轻薄
11052,版型是正的,0,版型,正
11053,物流很快呀,0,物流,快
11054,颜色正又不掉色,1,颜色,正
11055,买的橘色颜色很正,0,橘色颜色,正
11056,这个价格买的衣服真是值了,1,价格,值
11057,卖家发货快,1,卖家发货,快
11058,这个价格很值了,1,价格,值
11059,纯棉但不厚,1,纯棉,不厚
11060,上身效果超级赞,1,上身效果,赞
11061,店家发货快,0,店家发货,快
11062,颜色也很正,1,颜色,正
11063,这个价位超值,0,价位,值
11064,这个价位能买到这样的连衣裙也是超值了,1,价位,值
11065,邮件速度也很快,1,邮件速度,快
11066,颜色也漂亮,1,颜色,漂亮
11067,面料软软的,1,面料,软软的
11068,面料款式颜色一级棒,1,面料款式颜色,棒
11069,这个颜色太亮了,1,颜色,亮
11070,布料薄但很细腻,1,布料,薄
11071,不掉色是纯棉的,0,纯棉,不掉色
11072,物流很快包装整洁,0,包装,整洁
11073,颜色很亮丽,0,颜色,亮丽
11074,这个价位值了,0,价位,值
11075,这个价钱真超值了,0,价钱,值
11076,针织棉的布料薄而微弹不透,1,针织棉的布料,薄
11077,做工有点差,1,做工,差
11078,衣服也够大,0,衣服,大
11079,这个价钱超值,1,价钱,值
11080,很喜欢肥肥大大的感觉,1,感觉,肥肥大大
11081,布料特别揉软,1,布料,柔软
11082,颜色纯正不掉色,0,颜色,纯正
11083,物流也很快的,1,物流,快
11084,版型也比较正,1,版型,正
11085,衣服布料很软和,0,衣服布料,软和
11086,这个价格真是值了,1,价格,值
11087,这个价格值了,0,价格,值
11088,这个价格超值,1,价格,值
11089,颜色挺正的,0,颜色,正
11090,质量和图片一样没色差,0,质量和图片,没色差
11091,买家发货快,1,发货,快
11092,颜色特别正,0,颜色,正
11093,老板发货很快,0,发货,快
11094,衣服颜色亮丽,0,衣服颜色,亮丽
11095,颜色很漂亮,1,颜色,漂亮
11096,颜色正和图片一样,1,颜色,正
11097,物流很快推荐朋友,1,物流,快
11098,颜色正过水后不掉色,0,颜色,正
11099,感觉黑色大气,0,黑色,大气
11100,衣服简单大方,1,衣服,简单大方
11101,这次做工实在有点差劲,0,做工,差劲
11102,颜色亮衬皮肤,0,颜色,亮
11103,裙子颜色很漂亮,1,裙子颜色,漂亮
11104,砖红的这个料子薄,1,料子,薄
11105,这个颜色正,0,颜色,正
11106,裙子料子很柔软,0,裙子料子,柔软
11107,这价格很值,1,价格,值
11108,这价格值了,1,价格,值
11109,衣服版型还是蛮大的老妈,0,衣服版型,大
11110,衣服选大了,0,衣服,大
11111,衣服是薄料的,1,衣服,薄料得
11112,仔细检查发现做工细,1,做工,细
11113,这个价格也算物有所值,1,价格,值
11114,这种衣服质地夏天穿会比较闷热,1,衣服质地,闷热
11115,物流还挺快的,1,物流,快
11116,料子很薄一分价钱一分货,0,料子,薄
11117,衣服穿起来大气,0,衣服,大气
11118,可惜颜色少,0,颜色,少
11119,值这个这个价钱,1,价钱,值
11120,试穿了一下颜色很漂亮,1,颜色,漂亮
11121,这个价格很值,0,价格,值
11122,麦克风颜色很漂亮,1,麦克风颜色,漂亮
11123,感觉这个价格的确是很值的,0,价格,值
11124,效果简直不能太赞,0,效果,赞
11125,物流也还算快,1,物流,快
11126,颜色非常正,0,颜色,正
11127,衣服面料厚度适中,0,衣服面料厚度,适中
11128,大小尺寸标准,1,大小尺寸,小
11129,这个价格买的还值,0,价格,值
11130,这价格值得买哦,0,价格,值
11131,这么低的价格能买到值了,0,价格,值
11132,衣服大了点,0,衣服,大
11133,裙子颜色很正没色差,1,裙子颜色,，没色差
11134,快递发货很快,1,发货,快
11135,这件裙子颜色非常漂亮,0,裙子颜色,漂亮
11136,而且料子轻薄透气垂顺,0,料子,轻薄
11137,发货很快哦,0,发货,快
11138,这个价格真的值了,1,价格,值
11139,料子摸着挺柔软,0,料子,柔软
11140,不过这个价格能买到这样的已经是物超所值了,0,价格,物超所值
11141,颜色正柔软,1,颜色,柔软
11142,衣服发货很快,0,衣服发货,快
11143,衣服穿上大气上档次,1,衣服,大气上档次
11144,不过这价位买这裙子也值了,1,价位,值
11145,衣服尺码准,1,衣服尺码,准
11146,面料是厚一点的棉,1,面料,棉
11147,料子柔柔软软的,0,料子,柔柔软软
11148,衣服尺寸很正,0,衣服尺寸,正
11149,布料摸着很软,0,布料,软
11150,是纯棉的不掉色,1,纯棉,不掉色
11151,做工也挺细的,1,做工,细
11152,上身大方物流快,1,上身,大方
11153,尺码也很正,1,尺码,正
11154,码数也正规,1,码数,正规
11155,这个价钱买的值了,0,价钱,值
11156,卖家发货很快,1,发货,快
11157,物流挺快的,0,物流,快
11158,卖家推荐的尺码很准,1,卖家推荐的尺码,准
11159,这个价钱很值,1,价钱,值
11160,尺码还挺准的,1,尺码,准
11161,发货也非常快,1,发货,快
11162,快递员服务态度差,0,快递员服务态度,差
11163,發貨物流都算快,0,物流,快
11164,价廉物美物流快,0,物流,快
11165,布料有弹性又薄,0,布料,有弹性
11166,棉质的材质,0,材质,棉质的
11167,料子薄薄的,1,料子,薄薄的
11168,这个价格真的太超值了,0,价格,值
11169,总的来说值这个价钱,1,价钱,值
11170,料子摸着很软和,0,料子,软和
11171,做工么差些,0,做工,差
11172,颜色也特别正,1,颜色,正
11173,这个价格挺值的,0,价格,值
11174,领口就显得有些开得比较小了,0,领口,小
11175,因为衣服上有些脏,0,衣服,脏
11176,邮寄速度很快,1,速度,快
11177,裙子布料薄,1,裙子布料,薄
11178,这个价位太值了,1,价位,值
11179,店里发货快,0,发货,快
11180,颜色也很正点,1,颜色,正点
11181,这个价钱买真的是超值了,1,价钱,值
11182,颜色也很纯正,0,颜色,纯正
11183,物流快非常,0,物流,快
11184,但这个价格已经很值了,1,价格,值
11185,而且物流很快,1,物流,快
11186,码数够正呢,1,码数,正
11187,这个价钱很超值,0,价钱,值
11188,这个价钱值得买买买买买买,0,价钱,值
11189,衣服够肥大,1,衣服,肥大
11190,发货超级慢,1,发货,慢
11191,物流也超快,0,物流,快
11192,这个价格买到非常值,1,价格,值
11193,就这个价钱超值了,0,价钱,值
11194,但是这个价钱是物超所值了,0,价钱,物超所值
11195,面料觉得薄了点,1,面料,薄
11196,面料摸上去软软的,1,面料,软软的
11197,布料很软熟,0,布料,软
11198,只可惜颜色一人少,1,颜色,少
11199,送货速度快,1,速度,快
11200,发货有点慢,1,发货,慢
11201,没有穿过质量超差,1,质量,差
11202,这个价位挺值的,1,价位,值
11203,卖家发货快满意,1,卖家发货,满意
11204,很棒的一次购物体验,1,购物体验,棒
11205,看不出是纯棉的,1,纯棉,看不出
11206,很满意物流也很快啊,1,物流,快
11207,穿上舒服店家发货快,1,店家发货,快
11208,快递速度快,1,速度,快
11209,面料比较薄,1,面料,薄
11210,客服推荐尺码的挺准,0,客服推荐尺码,准
11211,物流快非常满意,0,物流,快
11212,价格虽然贵一点,0,价格,贵
11213,面料挨身软软的,1,面料,软软的
11214,物流也非常的快,1,物流,快
11215,物流也是超快,0,物流,快
11216,衣服面料很软,1,衣服面料,软
11217,领口小了点,0,领口,小
11218,衣服太大了,0,衣服,大
11219,物流了超快的,0,物流,快
11220,很薄的面料,0,面料,薄
11221,软软的料子,0,料子,软软的
11222,是纯棉的而且不透,1,纯棉,不透
11223,客服推荐的码数正好,0,客服推荐的码数,正好
11224,布料是我喜欢的布料又光又滑又软,1,布料,又光又滑又软
11225,就是价格比别人家贵,0,价格,贵
11226,速度非常快,0,速度,快
11227,很值这个价钱,1,价钱,值
11228,发货快隔了,1,发货,快
11229,物流超快棒棒哒,0,物流,快
11230,颜色也很正很满意,1,颜色,满意
11231,配送速度快,0,配送速度,快
11232,面料不是特别薄的那种,1,面料,薄
11233,而且颜色很正,1,颜色,正
11234,做工也仔细,1,做工,仔细
11235,面料质感都是一级棒的,1,面料质感,棒
11236,纯棉的且下水不掉色,1,纯棉,不掉色
11237,体恤收到啦物流很快,1,物流,快
11238,物流非常的快,0,物流,快
11239,物流很快耶,0,物流,快
11240,衣服做工很细,1,衣服做工,细
11241,物流也棒超快,1,物流,快
11242,物流服务特别快,0,物流服务,快
11243,已经第二次买了发货也很快,1,发货,快
11244,发货挺快的,1,发货,快
11245,给人一种大气的感觉,0,感觉,大气
11246,而且版型很正,1,版型,正
11247,但是味道太大了,1,味道,大
11248,衣服虽然小贵了些,1,衣服,贵
11249,这个价格太贵了,0,价格,贵
11250,物流也很快呢,0,物流,快
11251,这个价钱太值了,0,价钱,值
11252,还是颜色都很正,0,颜色,正
11253,除了价格有点小贵,0,价格,贵
11254,衣服简约大方,1,衣服,简约大方
11255,换货发货也快,0,换货发货,快
11256,先买了一件尺码略小,0,尺码,小
11257,这个价格真的非常的值,1,价格,值
11258,颜色亮丽显年轻,0,颜色,亮丽
11259,那些说质量很差还缩水的至少我都没遇见,1,质量,差
11260,颜色也特别的正,1,颜色,正
11261,商家发货快,0,商家发货,快
11262,物流慢的要死,0,物流,慢
11263,就这个物流要慢死了,0,物流,慢
11264,物流信息也很快,0,物流信息,快
11265,就是码子偏小了,1,码子,偏小
11266,第一次买的衣服号码小了,1,衣服号码,小
11267,而且物流超快,1,物流,快
11268,衣服面料软软的,0,衣服面料,软软的
11269,码数正穿上刚刚好,0,码数,正
11270,不同批次的衣服也会有一些差异的呢,0,衣服,有差异
11271,发货非常快,1,发货,快
11272,物流很快太度特别好,1,物流,快
11273,就是物流很慢,0,物流,慢
11274,就是价格略贵一点,1,价格,贵
11275,感觉物流有点慢吧,0,物流,慢
11276,料子滑滑的很柔软,0,料子,柔软
11277,无论洗多少次面料颜色也不会变浅,1,颜色,不会变浅
11278,面料软不起皱,1,面料,软
11279,衣服买了有点小还是算了,1,衣服,小
11280,就是码子有点偏小,1,码子,偏小
11281,商家发货慢,1,商家发货,慢
11282,感觉尺码还是小,1,尺码,小
11283,但衣服有点紧,0,衣服,紧
11284,这物流也太快了,0,物流,快
11285,料子比较薄,1,料子,薄
11286,商家发货很快,0,商家发货,快
11287,到货速度很快,0,到货速度,快
11288,做工也很仔细,0,做工,仔细
11289,衣服也不会太透,0,衣服,透
11290,卖家服务很贴心,1,卖家服务,贴心
11291,物流也快点赞,1,物流,赞
11292,很轻薄的速干面料,1,速干面料,薄
11293,物流配送快,0,物流,快
11294,网上速度快,0,速度,快
11295,很棒的面料,0,面料,棒
11296,布料比较薄,0,布料,薄
11297,这款裤子码数正常,0,裤子码数,正常
11298,发货到货快,1,发货到货,快
11299,发货挺快的吧,0,发货,快
11300,店家发货很快,0,店家发货,快
11301,面料也挺薄,1,面料,薄
11302,面料很轻薄适合夏天运动穿,1,面料,轻薄
11303,料子很软很滑,0,料子,软
11304,这个码数正好,0,码数,正好
11305,面料比在香港买的同款灰色稍薄一点,0,灰色,薄
11306,料子还算薄,1,料子,薄
11307,发货和送货快,0,发货,快
11308,就是客服服务态度太差劲,0,客服服务态度,差劲
11309,问题是价格还这么贵,0,价格,贵
11310,裤子面料很薄,0,裤子面料,薄
11311,就是颜色选择少点,1,颜色选择,少
11312,个人觉得尺码有点偏大哦,1,尺码,偏大
11313,买家发货很快,1,卖家发货,快
11314,面料是薄款,1,面料,薄款
11315,主要是尺码正,0,尺码,正
11316,这次一如既往得发货很快,1,发货,快
11317,发货特别快,0,发货,快
11318,料子薄厚适中,0,料子薄厚,适中
11319,面料是垂顺的薄料,1,面料,薄
11320,手感软软滑滑的,0,手感,软软滑滑的
11321,色差挺大的,0,色差,大
11322,只是领口有点小,1,领口,小
11323,物流也挺快,1,物流,快
11324,尺码偏大穿在身上也很舒服,0,尺码,偏大
11325,物流有点慢,0,物流,慢
11326,这款尺码偏大,1,尺码,偏大
11327,衣衣颜色很漂亮,1,衣衣颜色,漂亮
11328,颜色很正不易皱,0,颜色,正
11329,跟模特身上的衣服颜色还是有差异的,1,衣服颜色,有差异
11330,颜色很正没有你点瑕疵,1,颜色,正
11331,颜色比较正,1,颜色,正
11332,物流快满意,0,物流,快
11333,衣服拿到就出差了,1,衣服,差
11334,不是那种薄薄的料子,1,料子,薄薄的
11335,物流不算快,0,物流,快
11336,软软的面料,1,面料,软软的
11337,颜色也非常正,1,颜色,正
11338,不是特别薄的那种布料,1,布料,薄
11339,物流也比较快,1,物流,快
11340,颜色漂亮又大方,1,颜色,漂亮又大方
11341,面料不是很薄的那种,0,面料,薄
11342,穿上漂亮料子很柔软,1,料子,柔软
11343,颜色挺漂亮,0,颜色,漂亮
11344,袖子也很宽松会比正常短袖的袖子长一丢丢非常棒,0,袖子,宽松
11345,物流也挺快滴,1,物流,快
11346,就是物流有些慢,0,物流,慢
11347,就是建议的尺码有点大,0,尺码,大
11348,面料也是很棒啊,1,面料,棒
11349,衣服薄薄的,0,衣服,薄薄的
11350,味道有点大,1,味道,大
11351,无色差舒适大小合身,0,大小,合身
11352,发货慢也就罢了,1,发货,慢
11353,料子柔软细腻,1,料子,柔软细腻
11354,上身效果超赞的,0,上身效果,赞
11355,衣服稍微有点大,1,衣服,大
11356,物流有些慢,1,物流,慢
11357,颜色没图片上那么亮,1,颜色,亮
11358,物流也特别慢,1,物流,慢
11359,发货也挺快,0,发货,快
11360,客服推荐的尺码很准,0,客服推荐的尺码,准
11361,衣服也薄了,1,衣服,薄
11362,第一次买感觉偏大送人了,0,感觉,偏大
11363,店家发货也超级快,0,店家发货,快
11364,很漂亮的颜色,0,颜色,漂亮
11365,材质是薄薄的,0,材质,薄薄的
11366,感觉布料稍微有点差别,0,布料,有点差别
11367,很值价格了,1,价格,值
11368,店家发货也很快,1,店家发货,快
11369,颜色也很正啊,0,颜色,正
11370,然后衣服很薄,0,衣服,薄
11371,拍时看评价说尺寸偏小,0,尺寸,偏小
11372,实物颜色更漂亮,0,颜色,漂亮
11373,衣服有点小,1,衣服,小
11374,水蓝色颜色很正,1,水蓝色颜色,正
11375,图案选择多,0,图案,多
11376,领口有点小,0,领口,小
11377,短袖就是领口小了点,1,领口,小
11378,客服服务态度差差差,1,客服服务态度,差
11379,这个价格买到手超值,1,价格,值
11380,印花图案也丰富多彩,1,印花图案,丰富多彩
11381,衣服面料挺软和的,1,衣服面料,软和
11382,面料略微有些薄,0,面料,薄
11383,担心白色太透,0,白色,透
11384,白色穿略透,0,白色,透
11385,真实颜色要偏亮一些,1,颜色,偏亮
11386,白色相对来说是会比其它颜色透一点的,0,白色,透
11387,衣领没有很小,1,衣领,小
11388,我们都会用最快的速度帮您解决问题,0,速度,快
11389,颜色是亮色的,1,颜色,亮色
11390,牛油果色颜色很正,1,牛油果颜色,正
11391,这价格挺值了,1,价格,值
11392,颜色是比较亮的浅蓝,1,浅蓝,亮
11393,店里还有很多款式和颜色,0,款式和颜色,多
11394,料子挺柔软,1,料子,柔软
11395,就是味道有点大,1,味道,大
11396,恤颜色漂亮,1,颜色,漂亮
11397,衣服有点厚,1,衣服,厚
11398,衣服也有点薄,0,衣服,薄
11399,料子挺薄的,0,料子,薄
11400,虽然衣服有点薄,1,衣服,薄
11401,不过尺码有点小,1,尺码,小
11402,就是尺码有点小,1,尺码,小
11403,恤值这个价格,1,价格,值
11404,白色的料子比较软,1,白色的料子,软
11405,布料稍稍略薄,0,布料,薄
11406,料子摸起来非常软,0,料子,软
11407,颜色不是正粉,1,颜色,不是正粉
11408,它不是那种大袖子,1,袖子,大
11409,但是尺码偏大,0,尺码,偏大
11410,袖子也不是很长很大的那种,1,袖子,大
11411,味道也有点难闻白色的比较透一点,0,白色,透
11412,一开始怕白色会透,0,白色,透
11413,只是衣服稍微薄了点,0,衣服,薄
11414,料子有一点儿小厚,1,料子,厚
11415,尺码有点小,1,尺码,小
11416,牛油果的色差真是够大的,1,牛油果的色差,大
11417,上身效果也是最差的,0,上身效果,差
11418,夏款面料相对轻薄,0,面料,轻薄
11419,白色太透了,0,白色,透
11420,比白色要透一点,0,白色,透
11421,白色有一点点透,0,白色,透
11422,发货特别慢,0,发货,慢
11423,除了物流有点慢,1,物流,慢
11424,白色薄和透,1,白色,薄和透
11425,就是有白色点透,1,白色,透
11426,尺码也特别准,1,尺码,准
11427,都说这个价位超值,1,价位,值
11428,这个价格非常的超值,0,价格,值
11429,一套这个价格超值,0,价格,值
11430,不是滑滑的软软的那种料子,0,料子,软软的
11431,这个价位很值了,1,价位,值
11432,袖子长短喜欢,1,袖子长短,喜欢
11433,白色的也不会透,1,白色,透
11434,属于正常码数,1,码数,正常
11435,尺码大了点,1,尺码,大
11436,衣服属于常规厚度,0,厚度,常规
11437,真的是大爱这件衣服,0,衣服,大爱
11438,料子软软的,1,料子,软软的
11439,这个价位买到这样的衣服太值了,1,价位,值
11440,颜色亮度也够,1,颜色亮度,够
11441,这个价格真是太值了,1,价格,值
11442,纯白颜色很正,0,纯白颜色,正
11443,物流很快没两天就收到了,0,物流,快
11444,颜色也挺正,0,颜色,正
11445,衣服料子有点厚,1,衣服料子,厚
11446,这个价格这个质量很值,0,价格,值
11447,就是味道很大,0,味道,大
11448,就是物流有点点慢,0,物流,慢
11449,不是那种质量差的,1,质量,差
11450,面料棒棒哒,1,面料,棒棒哒
11451,面料摸起来也很棒,0,面料,棒
11452,线头基本看不到做工挺细的,1,做工,细
11453,老板发货挺快,1,老板发货,快
11454,值这个价格,1,价格,值
11455,尺码挺准的,1,尺码,准
11456,袖子不是那种短的,0,袖子,短
11457,衣服面料比较厚,0,衣服面料,厚
11458,不是很软的面料,1,面料,软
11459,颜色也不是太正,1,颜色,正
11460,物流很快两天就收到,0,物流,快
11461,物流极其的慢,1,物流,慢
11462,发货还挺快的,1,发货,快
11463,衣服稍微有点厚,0,衣服,厚
11464,就是物流超慢,1,物流,慢
11465,料子摸着很柔软,1,料子,柔软
